Date,Open,High,Low,Close,Volume,Adjusted Close
2014-05-26,406.1,407.1,405.82,406.88,34395000.0,406.88
2014-05-23,404.22,405.59,403.54,405.14,57337900.0,405.14
2014-05-22,405.21,405.21,403.03,404.14,79720300.0,404.14
2014-05-21,400.04,403.27,398.9,402.9,74143900.0,402.9
2014-05-20,401.11,402.05,399.57,400.8,75588400.0,400.8
2014-05-19,399.37,401.28,397.94,401.04,80808000.0,401.04
2014-05-16,400.26,400.93,397.71,399.56,113534700.0,399.56
2014-05-15,403.03,404.89,399.07,400.25,109601900.0,400.25
2014-05-14,404.46,404.46,402.75,403.33,70333800.0,403.33
2014-05-13,405.28,405.4,404.06,404.65,75389000.0,404.65
2014-05-12,402.4,404.34,401.51,403.78,65479100.0,403.78
2014-05-09,401.92,402.38,400.88,401.93,73164200.0,401.93
2014-05-08,399.28,403.17,398.36,402.98,87812400.0,402.98
2014-05-07,394.72,399.37,394.72,398.59,82801700.0,398.59
2014-05-06,398.26,398.72,395.22,396.54,70545000.0,396.54
2014-05-05,396.87,397.65,392.72,397.44,59799100.0,397.44
2014-05-02,400.05,400.84,398.45,399.23,99030000.0,399.23
2014-04-30,399.65,401.35,399.29,400.55,102535800.0,400.55
2014-04-29,394.92,398.51,394.29,398.47,69049600.0,398.47
2014-04-28,393.49,395.23,392.19,393.73,65912600.0,393.73
2014-04-25,394.86,395.51,391.83,392.85,77416000.0,392.85
2014-04-24,399.07,399.41,393.32,397.1,89719200.0,397.1
2014-04-23,398.04,398.16,396.89,397.34,65201100.0,397.34
2014-04-22,396.13,399.29,395.27,398.3,88478500.0,398.3
2014-04-17,396.22,396.91,393.81,396.76,86712000.0,396.76
2014-04-16,394.78,395.99,393.11,395.99,87788500.0,395.99
2014-04-15,395.64,396.33,392.61,392.66,95438900.0,392.66
2014-04-14,393.93,395.69,391.29,395.54,102356900.0,395.54
2014-04-11,398.59,399.04,394.16,395.64,102778000.0,395.64
2014-04-10,404.86,405.28,401.15,401.9,66703600.0,401.9
2014-04-09,403.13,404.17,402.52,403.39,72091100.0,403.39
2014-04-08,404.19,404.61,399.54,402.54,113023400.0,402.54
2014-04-07,404.2,406.22,403.23,404.04,69685200.0,404.04
2014-04-04,406.24,408.42,405.64,407.46,79767000.0,407.46
2014-04-03,406.79,406.95,404.73,405.69,87342000.0,405.69
2014-04-02,406.22,406.97,405.66,406.14,85264900.0,406.14
2014-04-01,404.83,406.42,403.42,405.62,94127600.0,405.62
2014-03-31,403.79,405.09,402.78,403.21,90978500.0,403.21
2014-03-28,399.86,401.95,399.56,401.79,86568800.0,401.79
2014-03-27,396.07,398.59,395.58,398.59,77744500.0,398.59
2014-03-26,394.67,398.09,394.08,396.89,89500500.0,396.89
2014-03-25,389.11,393.48,389.11,393.13,94531000.0,393.13
2014-03-24,391.82,392.4,387.24,388.23,100768800.0,388.23
2014-03-21,391.72,393.55,390.02,391.36,213252000.0,391.36
2014-03-20,386.98,390.82,385.67,390.82,115391700.0,390.82
2014-03-19,389.67,390.5,388.01,388.88,93898500.0,388.88
2014-03-18,386.28,391.35,384.14,389.37,109534400.0,389.37
2014-03-17,383.43,388.34,382.73,386.92,90990400.0,386.92
2014-03-14,383.41,383.89,379.8,382.65,151840900.0,382.65
2014-03-13,392.04,392.04,386.06,386.06,99311800.0,386.06
2014-03-12,391.95,392.54,388.51,391.41,95306500.0,391.41
2014-03-11,394.59,396.34,392.58,394.29,84611600.0,394.29
2014-03-10,395.49,399.06,392.01,393.4,96464700.0,393.4
2014-03-07,399.63,400.93,396.0,396.28,109070200.0,396.28
2014-03-06,399.56,400.83,398.58,400.06,92635900.0,400.06
2014-03-05,398.38,399.53,397.56,398.62,85466900.0,398.62
2014-03-04,392.46,398.89,392.31,398.73,114857500.0,398.73
2014-03-03,392.14,394.0,386.66,388.19,146924300.0,388.19
2014-02-28,398.89,399.77,396.61,398.54,86478100.0,398.54
2014-02-27,398.76,400.17,394.84,398.28,99536500.0,398.28
2014-02-26,400.91,401.48,397.32,398.64,91268800.0,398.64
2014-02-25,400.9,401.03,398.58,400.77,87132900.0,400.77
2014-02-24,399.57,401.76,398.8,401.76,111984200.0,401.76
2014-02-21,400.22,400.89,399.43,400.36,97100200.0,400.36
2014-02-20,397.04,398.76,395.78,398.76,115999400.0,398.76
2014-02-19,400.98,402.36,399.74,401.54,98511100.0,401.54
2014-02-18,402.09,402.46,399.62,401.62,90100400.0,401.62
2014-02-17,400.01,401.82,399.64,401.24,61210200.0,401.24
2014-02-14,397.55,399.64,397.42,398.95,78995300.0,398.95
2014-02-13,396.94,397.52,394.77,397.0,91933700.0,397.0
2014-02-12,396.39,399.53,396.22,397.42,153180400.0,397.42
2014-02-11,391.07,394.96,390.59,394.96,92426900.0,394.96
2014-02-10,390.8,391.06,388.8,389.64,91561800.0,389.64
2014-02-07,389.52,391.11,387.68,389.54,136668600.0,389.54
2014-02-06,384.8,389.67,383.51,388.41,118451900.0,388.41
2014-02-05,381.75,384.61,380.96,382.65,119588300.0,382.65
2014-02-04,380.57,384.26,379.51,382.98,173334600.0,382.98
2014-02-03,385.86,388.54,383.28,383.63,137213900.0,383.63
2014-01-31,388.72,389.09,381.72,386.85,123710100.0,386.85
2014-01-30,388.77,392.11,386.38,389.61,127927000.0,389.61
2014-01-29,395.35,396.51,384.68,389.33,131908800.0,389.33
